entity_id,state,last_changed
sensor.co2_mh_z19_co2_value,1455,2025-02-21T01:13:46.209Z
sensor.co2_mh_z19_co2_value,1457,2025-02-21T01:14:46.209Z
sensor.co2_mh_z19_co2_value,1440,2025-02-21T01:15:46.210Z
sensor.co2_mh_z19_co2_value,1435,2025-02-21T01:16:46.217Z
sensor.co2_mh_z19_co2_value,1455,2025-02-21T01:17:46.208Z
sensor.co2_mh_z19_co2_value,1462,2025-02-21T01:18:46.210Z
sensor.co2_mh_z19_co2_value,1427,2025-02-21T01:19:46.212Z
sensor.co2_mh_z19_co2_value,1438,2025-02-21T01:20:46.210Z
sensor.co2_mh_z19_co2_value,1445,2025-02-21T01:21:46.211Z
sensor.co2_mh_z19_co2_value,1460,2025-02-21T01:22:46.210Z
sensor.co2_mh_z19_co2_value,1446,2025-02-21T01:23:46.224Z
sensor.co2_mh_z19_co2_value,1437,2025-02-21T01:24:46.212Z
sensor.co2_mh_z19_co2_value,1471,2025-02-21T01:25:46.213Z
sensor.co2_mh_z19_co2_value,1486,2025-02-21T01:26:46.215Z
sensor.co2_mh_z19_co2_value,1463,2025-02-21T01:27:46.212Z
sensor.co2_mh_z19_co2_value,1442,2025-02-21T01:28:46.215Z
sensor.co2_mh_z19_co2_value,1433,2025-02-21T01:29:46.216Z
sensor.co2_mh_z19_co2_value,1459,2025-02-21T01:30:46.214Z
sensor.co2_mh_z19_co2_value,1437,2025-02-21T01:31:46.228Z
sensor.co2_mh_z19_co2_value,1445,2025-02-21T01:32:46.224Z
sensor.co2_mh_z19_co2_value,1475,2025-02-21T01:33:46.216Z
sensor.co2_mh_z19_co2_value,1464,2025-02-21T01:34:46.215Z
sensor.co2_mh_z19_co2_value,1455,2025-02-21T01:35:46.222Z
sensor.co2_mh_z19_co2_value,1439,2025-02-21T01:36:46.215Z
sensor.co2_mh_z19_co2_value,1445,2025-02-21T01:37:46.216Z
sensor.co2_mh_z19_co2_value,1457,2025-02-21T01:38:46.218Z
sensor.co2_mh_z19_co2_value,1445,2025-02-21T01:39:46.219Z
sensor.co2_mh_z19_co2_value,1440,2025-02-21T01:40:46.216Z
